config_name,config,target_dataset,is_source,gen_auc,gen_pr_auc,sig_eff_at_1pct,stability_kl,stability_js,clean_auc,robust_auc,robustness_score
config_alpha-5.0_eps-0.1_iter-20,"{'alpha': 5.0, 'grad_eps': 0.1, 'grad_iter': 20, 'grad_eta': 0.02}",AutomatedCMS_mZprime-2000_mDark-1_rinv-0.3_alpha-low.h5,False,0.622082201955348,0.530490860943797,0.021195097037793667,0.007785274114064731,0.0019449270123406302,0.6220145225524902,0.6582739949226379,1.0582936106079226
config_alpha-5.0_eps-0.1_iter-20,"{'alpha': 5.0, 'grad_eps': 0.1, 'grad_iter': 20, 'grad_eta': 0.02}",AutomatedCMS_mZprime-2000_mDark-1_rinv-0.3_alpha-peak.h5,False,0.5824908564153588,0.5062721771173433,0.012420964791218667,0.013485775532406197,0.0033685708702982844,0.5823373794555664,0.6249872446060181,1.073239099283521
config_alpha-5.0_eps-0.1_iter-20,"{'alpha': 5.0, 'grad_eps': 0.1, 'grad_iter': 20, 'grad_eta': 0.02}",AutomatedCMS_mZprime-2000_mDark-1_rinv-0.8_alpha-peak.h5,False,0.6405883500143694,0.5229991214883323,0.02369081980732466,0.008971925313242951,0.002230027644352218,0.6404860615730286,0.7096949815750122,1.1080568714204444
config_alpha-5.0_eps-0.1_iter-20,"{'alpha': 5.0, 'grad_eps': 0.1, 'grad_iter': 20, 'grad_eta': 0.02}",AutomatedCMS_mZprime-2000_mDark-5_rinv-0.3_alpha-peak.h5,False,0.5103991463672715,0.42908432180803274,0.004644635279179336,0.025021711700906953,0.006309230422927799,0.5103701949119568,0.5671259760856628,1.1112051247104995
config_alpha-5.0_eps-0.5_iter-10,"{'alpha': 5.0, 'grad_eps': 0.5, 'grad_iter': 10, 'grad_eta': 0.1}",AutomatedCMS_mZprime-2000_mDark-1_rinv-0.2_alpha-peak.h5,False,0.5858481363577781,0.5152491087180469,0.013790436911973193,0.015500711888626941,0.003567907623105518,0.5857604146003723,0.5858423709869385,1.0001399145188432
config_alpha-5.0_eps-0.5_iter-10,"{'alpha': 5.0, 'grad_eps': 0.5, 'grad_iter': 10, 'grad_eta': 0.1}",AutomatedCMS_mZprime-2000_mDark-1_rinv-0.3_alpha-high.h5,True,0.7245889212216542,0.6640878923199643,0.04794458392570858,0.0,0.0,0.7244924902915955,0.7972841858863831,1.1004726709665276
config_alpha-5.0_eps-0.5_iter-10,"{'alpha': 5.0, 'grad_eps': 0.5, 'grad_iter': 10, 'grad_eta': 0.1}",AutomatedCMS_mZprime-2000_mDark-1_rinv-0.3_alpha-low.h5,False,0.6352440293788608,0.5282475182635387,0.02185174376185612,0.017941437138186744,0.0042688727222932165,0.6352540850639343,0.6904738545417786,1.0869254850557737
config_alpha-5.0_eps-0.5_iter-10,"{'alpha': 5.0, 'grad_eps': 0.5, 'grad_iter': 10, 'grad_eta': 0.1}",AutomatedCMS_mZprime-2000_mDark-1_rinv-0.3_alpha-peak.h5,False,0.5938807574541837,0.5207560561404906,0.016047758128189493,0.014035708551986496,0.003267284324112632,0.5938941240310669,0.6198580861091614,1.043718166298504
config_alpha-5.0_eps-0.5_iter-10,"{'alpha': 5.0, 'grad_eps': 0.5, 'grad_iter': 10, 'grad_eta': 0.1}",AutomatedCMS_mZprime-2000_mDark-1_rinv-0.8_alpha-peak.h5,False,0.6374979745348677,0.5292654740559393,0.03152528395246842,0.01057544210654557,0.002651545529910282,0.6374176740646362,0.7700062990188599,1.2080090188098216
config_alpha-5.0_eps-0.5_iter-10,"{'alpha': 5.0, 'grad_eps': 0.5, 'grad_iter': 10, 'grad_eta': 0.1}",AutomatedCMS_mZprime-2000_mDark-5_rinv-0.3_alpha-peak.h5,False,0.5586838275358929,0.48472888968555383,0.012229759080429043,0.012208288734210107,0.0028087088095742974,0.5586885809898376,0.5474093556404114,0.9798112477447763
config_alpha-5.0_eps-0.5_iter-20,"{'alpha': 5.0, 'grad_eps': 0.5, 'grad_iter': 20, 'grad_eta': 0.1}",AutomatedCMS_mZprime-2000_mDark-1_rinv-0.2_alpha-peak.h5,False,0.5796093671864931,0.5187168416814236,0.01762469390385359,0.004030540599518423,0.0009997853191683489,0.5795552730560303,0.5787903666496277,0.9986801838548217
config_alpha-5.0_eps-0.5_iter-20,"{'alpha': 5.0, 'grad_eps': 0.5, 'grad_iter': 20, 'grad_eta': 0.1}",AutomatedCMS_mZprime-2000_mDark-1_rinv-0.3_alpha-high.h5,True,0.7295650846466419,0.6812529704116996,0.057805741250491545,0.0,0.0,0.7293853163719177,0.7454617619514465,1.0220410875002197
config_alpha-5.0_eps-0.5_iter-20,"{'alpha': 5.0, 'grad_eps': 0.5, 'grad_iter': 20, 'grad_eta': 0.1}",AutomatedCMS_mZprime-2000_mDark-1_rinv-0.3_alpha-low.h5,False,0.6473494975436549,0.5695956031248695,0.03677221654749745,0.007365542338171137,0.0018245406179619188,0.6473551988601685,0.6432685256004333,0.9936871237507157
config_alpha-5.0_eps-0.5_iter-20,"{'alpha': 5.0, 'grad_eps': 0.5, 'grad_iter': 20, 'grad_eta': 0.1}",AutomatedCMS_mZprime-2000_mDark-1_rinv-0.3_alpha-peak.h5,False,0.6016081826448845,0.5371457001197595,0.023975350643515102,0.004393107491952703,0.0010903845688620337,0.6016559600830078,0.6106007099151611,1.0148668847740148
